id,value,location,sample date,measure,isToxic
8956,0,Kannika,26-May-98,Lead,1
8958,0,Kannika,26-May-98,Mercury,1
8960,0,Kannika,26-May-98,Arsenic,1
9417,21,Kannika,26-May-98,Water temperature,0
9434,0.05,Kannika,26-May-98,Iron,0
9439,0,Kannika,26-May-98,Lead,1
9441,0,Kannika,26-May-98,Mercury,1
9443,0,Kannika,26-May-98,Arsenic,1
2423,24.5,Boonsri,6-Jun-98,Water temperature,0
2439,0.08,Boonsri,6-Jun-98,Iron,0
2444,1,Boonsri,6-Jun-98,Lead,1
2446,0,Boonsri,6-Jun-98,Mercury,1
2448,0,Boonsri,6-Jun-98,Arsenic,1
2785,24.5,Boonsri,6-Jun-98,Water temperature,0
2801,0.07,Boonsri,6-Jun-98,Iron,0
2806,4,Boonsri,6-Jun-98,Lead,1
2808,0,Boonsri,6-Jun-98,Mercury,1
2810,0,Boonsri,6-Jun-98,Arsenic,1
4847,25,Kohsoom,27-Jun-98,Water temperature,0
4864,14.31,Kohsoom,27-Jun-98,Iron,0
4869,34,Kohsoom,27-Jun-98,Lead,1
4871,0,Kohsoom,27-Jun-98,Mercury,1
4873,0,Kohsoom,27-Jun-98,Arsenic,1
5247,24,Chai,28-Jun-98,Water temperature,0
5263,0.59,Chai,28-Jun-98,Iron,0
5268,20,Chai,28-Jun-98,Lead,1
5270,0,Chai,28-Jun-98,Mercury,1
5272,0,Chai,28-Jun-98,Arsenic,1
5731,24,Chai,28-Jun-98,Water temperature,0
5747,0.38,Chai,28-Jun-98,Iron,0
5752,11,Chai,28-Jun-98,Lead,1
5754,0,Chai,28-Jun-98,Mercury,1
5756,0,Chai,28-Jun-98,Arsenic,1
6209,24,Chai,28-Jun-98,Water temperature,0
6225,0.42,Chai,28-Jun-98,Iron,0
6230,1,Chai,28-Jun-98,Lead,1
6232,0,Chai,28-Jun-98,Mercury,1
6234,0,Chai,28-Jun-98,Arsenic,1
6530,22,Somchair,29-Jun-98,Water temperature,0
6547,28.25,Somchair,29-Jun-98,Iron,0
6552,10,Somchair,29-Jun-98,Lead,1
6554,0,Somchair,29-Jun-98,Mercury,1
6556,0,Somchair,29-Jun-98,Arsenic,1
8493,25,Kannika,29-Jun-98,Water temperature,0
8510,0.89,Kannika,29-Jun-98,Iron,0
8515,10,Kannika,29-Jun-98,Lead,1
8517,0,Kannika,29-Jun-98,Mercury,1
8519,0,Kannika,29-Jun-98,Arsenic,1
8974,25,Kannika,29-Jun-98,Water temperature,0
8991,0.47,Kannika,29-Jun-98,Iron,0
8996,10,Kannika,29-Jun-98,Lead,1
8998,0,Kannika,29-Jun-98,Mercury,1
9000,0,Kannika,29-Jun-98,Arsenic,1
9457,25,Kannika,29-Jun-98,Water temperature,0
9474,0.66,Kannika,29-Jun-98,Iron,0
9479,10,Kannika,29-Jun-98,Lead,1
9481,0,Kannika,29-Jun-98,Mercury,1
9483,0,Kannika,29-Jun-98,Arsenic,1
9905,25,Sakda,30-Jun-98,Water temperature,0
9922,0.48,Sakda,30-Jun-98,Iron,0
9927,1,Sakda,30-Jun-98,Lead,1
9929,0,Sakda,30-Jun-98,Mercury,1
9931,0,Sakda,30-Jun-98,Arsenic,1
2464,19,Boonsri,11-Jul-98,Water temperature,0
2481,0.34,Boonsri,11-Jul-98,Iron,0
2486,0,Boonsri,11-Jul-98,Lead,1
2488,0,Boonsri,11-Jul-98,Mercury,1
2490,0,Boonsri,11-Jul-98,Arsenic,1
2826,17,Boonsri,11-Jul-98,Water temperature,0
2843,0.32,Boonsri,11-Jul-98,Iron,0
2848,0,Boonsri,11-Jul-98,Lead,1
2850,0,Boonsri,11-Jul-98,Mercury,1
2852,0,Boonsri,11-Jul-98,Arsenic,1
5287,26.5,Chai,23-Jul-98,Water temperature,0
5304,0.08,Chai,23-Jul-98,Iron,0
5309,0,Chai,23-Jul-98,Lead,1
5311,0,Chai,23-Jul-98,Mercury,1
5313,0,Chai,23-Jul-98,Arsenic,1
5771,26.5,Chai,23-Jul-98,Water temperature,0
5788,0.09,Chai,23-Jul-98,Iron,0
5793,0,Chai,23-Jul-98,Lead,1
5795,0,Chai,23-Jul-98,Mercury,1
5797,0,Chai,23-Jul-98,Arsenic,1
6249,26.5,Chai,23-Jul-98,Water temperature,0
6266,0.09,Chai,23-Jul-98,Iron,0
6271,0,Chai,23-Jul-98,Lead,1
6273,0,Chai,23-Jul-98,Mercury,1
6275,0,Chai,23-Jul-98,Arsenic,1
8534,22,Kannika,26-Jul-98,Water temperature,0
8551,0.06,Kannika,26-Jul-98,Iron,0
8556,0,Kannika,26-Jul-98,Lead,1
8558,0,Kannika,26-Jul-98,Mercury,1
8560,0,Kannika,26-Jul-98,Arsenic,1
9015,22,Kannika,26-Jul-98,Water temperature,0
9032,0.05,Kannika,26-Jul-98,Iron,0
9037,0,Kannika,26-Jul-98,Lead,1
9039,0,Kannika,26-Jul-98,Mercury,1
9041,0,Kannika,26-Jul-98,Arsenic,1
9498,22,Kannika,26-Jul-98,Water temperature,0
9515,0.06,Kannika,26-Jul-98,Iron,0
9520,0,Kannika,26-Jul-98,Lead,1
9522,0,Kannika,26-Jul-98,Mercury,1
9524,0,Kannika,26-Jul-98,Arsenic,1
2504,23,Boonsri,8-Aug-98,Water temperature,0
2521,0.19,Boonsri,8-Aug-98,Iron,0
2526,4,Boonsri,8-Aug-98,Lead,1
2528,0,Boonsri,8-Aug-98,Mercury,1
2530,0,Boonsri,8-Aug-98,Arsenic,1
2867,23,Boonsri,8-Aug-98,Water temperature,0
2884,0.21,Boonsri,8-Aug-98,Iron,0
2889,3,Boonsri,8-Aug-98,Lead,1
2891,0,Boonsri,8-Aug-98,Mercury,1
2893,0,Boonsri,8-Aug-98,Arsenic,1
5330,32.89,Chai,15-Aug-98,Lead,1
8577,22.25,Kannika,15-Aug-98,Lead,1
9741,23.36,Sakda,15-Aug-98,Lead,1
4889,25,Kohsoom,22-Aug-98,Water temperature,0
4906,1.97,Kohsoom,22-Aug-98,Iron,0
4911,52,Kohsoom,22-Aug-98,Lead,1
4913,0,Kohsoom,22-Aug-98,Mercury,1
4915,0,Kohsoom,22-Aug-98,Arsenic,1
5333,23.5,Chai,23-Aug-98,Water temperature,0
5350,0.39,Chai,23-Aug-98,Iron,0
5355,11,Chai,23-Aug-98,Lead,1
5357,0,Chai,23-Aug-98,Mercury,1
5359,0,Chai,23-Aug-98,Arsenic,1
5811,23,Chai,23-Aug-98,Water temperature,0
5828,0.39,Chai,23-Aug-98,Iron,0
5833,16,Chai,23-Aug-98,Lead,1
5835,0,Chai,23-Aug-98,Mercury,1
5837,0,Chai,23-Aug-98,Arsenic,1
6289,23,Chai,23-Aug-98,Water temperature,0
6306,0.44,Chai,23-Aug-98,Iron,0
6311,7,Chai,23-Aug-98,Lead,1
6313,0,Chai,23-Aug-98,Mercury,1
6315,0,Chai,23-Aug-98,Arsenic,1
6571,21,Somchair,24-Aug-98,Water temperature,0
6588,6.75,Somchair,24-Aug-98,Iron,0
6593,15,Somchair,24-Aug-98,Lead,1
6595,0,Somchair,24-Aug-98,Mercury,1
6597,0,Somchair,24-Aug-98,Arsenic,1
8580,23,Kannika,25-Aug-98,Water temperature,0
8597,1,Kannika,25-Aug-98,Iron,0
8602,20,Kannika,25-Aug-98,Lead,1
8604,0,Kannika,25-Aug-98,Mercury,1
8606,0,Kannika,25-Aug-98,Arsenic,1
9055,23,Kannika,25-Aug-98,Water temperature,0
9072,0.93,Kannika,25-Aug-98,Iron,0
9077,20,Kannika,25-Aug-98,Lead,1
9079,0,Kannika,25-Aug-98,Mercury,1
9081,0,Kannika,25-Aug-98,Arsenic,1
9538,23,Kannika,25-Aug-98,Water temperature,0
9555,1,Kannika,25-Aug-98,Iron,0
9560,20,Kannika,25-Aug-98,Lead,1
9562,0,Kannika,25-Aug-98,Mercury,1
9564,0,Kannika,25-Aug-98,Arsenic,1
9947,23,Sakda,26-Aug-98,Water temperature,0
9964,0.44,Sakda,26-Aug-98,Iron,0
9969,18,Sakda,26-Aug-98,Lead,1
9971,0,Sakda,26-Aug-98,Mercury,1
9973,0,Sakda,26-Aug-98,Arsenic,1
2544,14,Boonsri,5-Sep-98,Water temperature,0
2561,0.45,Boonsri,5-Sep-98,Iron,0
2566,0,Boonsri,5-Sep-98,Lead,1
2568,0,Boonsri,5-Sep-98,Mercury,1
2570,0,Boonsri,5-Sep-98,Arsenic,1
2907,15,Boonsri,5-Sep-98,Water temperature,0
2924,0.41,Boonsri,5-Sep-98,Iron,0
2929,0,Boonsri,5-Sep-98,Lead,1
2931,0,Boonsri,5-Sep-98,Mercury,1
2933,0,Boonsri,5-Sep-98,Arsenic,1
8620,18,Kannika,20-Sep-98,Water temperature,0
8637,0.01,Kannika,20-Sep-98,Iron,0
8642,0,Kannika,20-Sep-98,Lead,1
8644,0,Kannika,20-Sep-98,Mercury,1
8646,0,Kannika,20-Sep-98,Arsenic,1
9095,18,Kannika,20-Sep-98,Water temperature,0
9112,0.01,Kannika,20-Sep-98,Iron,0
9117,0,Kannika,20-Sep-98,Lead,1
9119,0,Kannika,20-Sep-98,Mercury,1
9121,0,Kannika,20-Sep-98,Arsenic,1
9578,18,Kannika,20-Sep-98,Water temperature,0
9595,0.01,Kannika,20-Sep-98,Iron,0
9600,0,Kannika,20-Sep-98,Lead,1
9602,0,Kannika,20-Sep-98,Mercury,1
9604,0,Kannika,20-Sep-98,Arsenic,1
5373,16.5,Chai,27-Sep-98,Water temperature,0
5390,0.06,Chai,27-Sep-98,Iron,0
5395,0,Chai,27-Sep-98,Lead,1
5397,0,Chai,27-Sep-98,Mercury,1
5399,0,Chai,27-Sep-98,Arsenic,1
5851,17,Chai,27-Sep-98,Water temperature,0
5868,0.03,Chai,27-Sep-98,Iron,0
5873,0,Chai,27-Sep-98,Lead,1
5875,0,Chai,27-Sep-98,Mercury,1
5877,0,Chai,27-Sep-98,Arsenic,1
6329,17,Chai,27-Sep-98,Water temperature,0
6346,0.06,Chai,27-Sep-98,Iron,0
6351,0,Chai,27-Sep-98,Lead,1
6353,0,Chai,27-Sep-98,Mercury,1
6355,0,Chai,27-Sep-98,Arsenic,1
4929,15,Kohsoom,1-Oct-98,Water temperature,0
4946,0.35,Kohsoom,1-Oct-98,Iron,0
4951,0,Kohsoom,1-Oct-98,Lead,1
4953,0,Kohsoom,1-Oct-98,Mercury,1
4955,0,Kohsoom,1-Oct-98,Arsenic,1
2584,14,Boonsri,3-Oct-98,Water temperature,0
2601,0.47,Boonsri,3-Oct-98,Iron,0
2606,5,Boonsri,3-Oct-98,Lead,1
2608,0,Boonsri,3-Oct-98,Mercury,1
2610,0,Boonsri,3-Oct-98,Arsenic,1
2947,14.5,Boonsri,3-Oct-98,Water temperature,0
2964,0.25,Boonsri,3-Oct-98,Iron,0
2969,12,Boonsri,3-Oct-98,Lead,1
2971,0,Boonsri,3-Oct-98,Mercury,1
2973,0,Boonsri,3-Oct-98,Arsenic,1
8660,14,Kannika,23-Oct-98,Water temperature,0
8677,0.25,Kannika,23-Oct-98,Iron,0
8682,83,Kannika,23-Oct-98,Lead,1
8684,0,Kannika,23-Oct-98,Mercury,1
8686,0,Kannika,23-Oct-98,Arsenic,1
9135,14,Kannika,23-Oct-98,Water temperature,0
9152,0.42,Kannika,23-Oct-98,Iron,0
9157,33,Kannika,23-Oct-98,Lead,1
9159,0,Kannika,23-Oct-98,Mercury,1
9161,0,Kannika,23-Oct-98,Arsenic,1
9618,14,Kannika,23-Oct-98,Water temperature,0
9635,0.22,Kannika,23-Oct-98,Iron,0
9640,30,Kannika,23-Oct-98,Lead,1
9642,0,Kannika,23-Oct-98,Mercury,1
9644,0,Kannika,23-Oct-98,Arsenic,1
9744,13,Sakda,24-Oct-98,Water temperature,0
9761,0,Sakda,24-Oct-98,Iron,0
9766,50,Sakda,24-Oct-98,Lead,1
9768,0,Sakda,24-Oct-98,Mercury,1
9770,0,Sakda,24-Oct-98,Arsenic,1
9987,13,Sakda,24-Oct-98,Water temperature,0
10004,0,Sakda,24-Oct-98,Iron,0
10009,52,Sakda,24-Oct-98,Lead,1
10011,0,Sakda,24-Oct-98,Mercury,1
10013,0,Sakda,24-Oct-98,Arsenic,1
10107,13,Sakda,24-Oct-98,Water temperature,0
10124,0,Sakda,24-Oct-98,Iron,0
10129,45,Sakda,24-Oct-98,Lead,1
10131,0,Sakda,24-Oct-98,Mercury,1
10133,0,Sakda,24-Oct-98,Arsenic,1
6731,9,Busarakhan,29-Oct-98,Water temperature,0
6748,0,Busarakhan,29-Oct-98,Iron,0
6753,48,Busarakhan,29-Oct-98,Lead,1
6755,0,Busarakhan,29-Oct-98,Mercury,1
6757,0,Busarakhan,29-Oct-98,Arsenic,1
5413,13.2,Chai,30-Oct-98,Water temperature,0
5430,0,Chai,30-Oct-98,Iron,0
5435,42,Chai,30-Oct-98,Lead,1
5437,0,Chai,30-Oct-98,Mercury,1
5439,0,Chai,30-Oct-98,Arsenic,1
5891,13.2,Chai,30-Oct-98,Water temperature,0
5908,0,Chai,30-Oct-98,Iron,0
5913,62,Chai,30-Oct-98,Lead,1
5915,0,Chai,30-Oct-98,Mercury,1
5917,0,Chai,30-Oct-98,Arsenic,1
6369,13.2,Chai,30-Oct-98,Water temperature,0
6386,0,Chai,30-Oct-98,Iron,0
6391,53,Chai,30-Oct-98,Lead,1
6393,0,Chai,30-Oct-98,Mercury,1
6395,0,Chai,30-Oct-98,Arsenic,1
6611,8.8,Somchair,30-Oct-98,Water temperature,0
6628,0,Somchair,30-Oct-98,Iron,0
6633,48,Somchair,30-Oct-98,Lead,1
6635,0,Somchair,30-Oct-98,Mercury,1
6637,0,Somchair,30-Oct-98,Arsenic,1
2624,12,Boonsri,7-Nov-98,Water temperature,0
2641,0.42,Boonsri,7-Nov-98,Iron,0
2646,0,Boonsri,7-Nov-98,Lead,1
2648,0,Boonsri,7-Nov-98,Mercury,1
2650,0,Boonsri,7-Nov-98,Arsenic,1
2987,10,Boonsri,7-Nov-98,Water temperature,0
3004,0.38,Boonsri,7-Nov-98,Iron,0
3009,0,Boonsri,7-Nov-98,Lead,1
3011,0,Boonsri,7-Nov-98,Mercury,1
3013,0,Boonsri,7-Nov-98,Arsenic,1
4969,5.8,Kohsoom,14-Nov-98,Water temperature,0
4986,0.42,Kohsoom,14-Nov-98,Iron,0
4991,92,Kohsoom,14-Nov-98,Lead,1
4993,0,Kohsoom,14-Nov-98,Mercury,1
4995,0,Kohsoom,14-Nov-98,Arsenic,1
8700,3.6,Kannika,20-Nov-98,Water temperature,0
8717,0,Kannika,20-Nov-98,Iron,0
8722,40,Kannika,20-Nov-98,Lead,1
8724,0,Kannika,20-Nov-98,Mercury,1
8726,0,Kannika,20-Nov-98,Arsenic,1
9175,14,Kannika,20-Nov-98,Water temperature,0
9192,0.42,Kannika,20-Nov-98,Iron,0
9197,30,Kannika,20-Nov-98,Lead,1
9199,0,Kannika,20-Nov-98,Mercury,1
9201,0,Kannika,20-Nov-98,Arsenic,1
9658,14,Kannika,20-Nov-98,Water temperature,0
9675,0.22,Kannika,20-Nov-98,Iron,0
9680,30,Kannika,20-Nov-98,Lead,1
9682,0,Kannika,20-Nov-98,Mercury,1
9684,0,Kannika,20-Nov-98,Arsenic,1
9784,14,Sakda,20-Nov-98,Water temperature,0
9801,0,Sakda,20-Nov-98,Iron,0
9806,17,Sakda,20-Nov-98,Lead,1
9808,0,Sakda,20-Nov-98,Mercury,1
9810,0,Sakda,20-Nov-98,Arsenic,1
10027,14,Sakda,20-Nov-98,Water temperature,0
10044,0,Sakda,20-Nov-98,Iron,0
10049,15,Sakda,20-Nov-98,Lead,1
10051,0,Sakda,20-Nov-98,Mercury,1
10053,0,Sakda,20-Nov-98,Arsenic,1
10147,14,Sakda,20-Nov-98,Water temperature,0
10164,0,Sakda,20-Nov-98,Iron,0
10169,14,Sakda,20-Nov-98,Lead,1
10171,0,Sakda,20-Nov-98,Mercury,1
10173,0,Sakda,20-Nov-98,Arsenic,1
5453,11.1,Chai,26-Nov-98,Water temperature,0
5470,0,Chai,26-Nov-98,Iron,0
5475,14,Chai,26-Nov-98,Lead,1
5477,0,Chai,26-Nov-98,Mercury,1
5479,0,Chai,26-Nov-98,Arsenic,1
5931,10.6,Chai,26-Nov-98,Water temperature,0
5948,0,Chai,26-Nov-98,Iron,0
5953,14,Chai,26-Nov-98,Lead,1
5955,0,Chai,26-Nov-98,Mercury,1
5957,0,Chai,26-Nov-98,Arsenic,1
6409,10.8,Chai,26-Nov-98,Water temperature,0
6426,0,Chai,26-Nov-98,Iron,0
6431,15,Chai,26-Nov-98,Lead,1
6433,0,Chai,26-Nov-98,Mercury,1
6435,0,Chai,26-Nov-98,Arsenic,1
6651,8.8,Somchair,28-Nov-98,Water temperature,0
6668,0,Somchair,28-Nov-98,Iron,0
6673,23,Somchair,28-Nov-98,Lead,1
6675,0,Somchair,28-Nov-98,Mercury,1
6677,0,Somchair,28-Nov-98,Arsenic,1
6771,8.4,Busarakhan,28-Nov-98,Water temperature,0
6788,0,Busarakhan,28-Nov-98,Iron,0
6793,49,Busarakhan,28-Nov-98,Lead,1
6795,0,Busarakhan,28-Nov-98,Mercury,1
6797,0,Busarakhan,28-Nov-98,Arsenic,1
2664,6,Boonsri,5-Dec-98,Water temperature,0
2681,0.67,Boonsri,5-Dec-98,Iron,0
2686,0,Boonsri,5-Dec-98,Lead,1
2688,0,Boonsri,5-Dec-98,Mercury,1
2690,0,Boonsri,5-Dec-98,Arsenic,1
3027,5,Boonsri,5-Dec-98,Water temperature,0
3044,0.65,Boonsri,5-Dec-98,Iron,0
3049,0,Boonsri,5-Dec-98,Lead,1
3051,0,Boonsri,5-Dec-98,Mercury,1
3053,0,Boonsri,5-Dec-98,Arsenic,1
9824,6.5,Sakda,10-Dec-98,Water temperature,0
9841,0,Sakda,10-Dec-98,Iron,0
9846,1,Sakda,10-Dec-98,Lead,1
9848,0,Sakda,10-Dec-98,Mercury,1
9850,0,Sakda,10-Dec-98,Arsenic,1
10067,6.5,Sakda,10-Dec-98,Water temperature,0
10084,0,Sakda,10-Dec-98,Iron,0
10089,12,Sakda,10-Dec-98,Lead,1
10091,0,Sakda,10-Dec-98,Mercury,1
